tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
-1.00;;-1.00;-1.00;18796.00;319.00;1188284582#2_0;5.10;0.00;tripinfo_10265 routing_10265;24404.00;10265;2;3553.59;0.93;0.00;23714.81;DEFAULT_VEHTYPE;end;96;23036.00
-1.00;;-1.00;-1.00;18503.00;0.80;628782529#0_0;5.10;0.00;tripinfo_10279 routing_10279;24697.00;10279;1;2335.14;0.96;0.00;24361.48;DEFAULT_VEHTYPE;end;107;23563.00
-1.00;;-1.00;-1.00;26449.00;7936.00;839709051_0;5.10;0.00;tripinfo_10285 routing_10285;16751.00;10285;2;413.90;1.04;0.00;16721.36;DEFAULT_VEHTYPE;end;76;15854.00
-1.00;;-1.00;-1.00;18521.00;0.80;628782529#0_0;5.10;0.00;tripinfo_10289 routing_10289;24679.00;10289;1;2855.91;0.97;0.00;23300.50;DEFAULT_VEHTYPE;end;96;22620.00
-1.00;;-1.00;-1.00;18530.00;0.80;13654453_0;5.10;0.00;tripinfo_10294 routing_10294;24670.00;10294;1;1705.37;1.09;0.00;24050.36;DEFAULT_VEHTYPE;end;120;23081.00
-1.00;;-1.00;-1.00;38312.00;19775.60;231945290#2_0;5.10;0.00;tripinfo_10298 routing_10298;4888.00;10298;2;524.66;0.87;0.00;4804.23;DEFAULT_VEHTYPE;end;22;4643.00
-1.00;;-1.00;-1.00;26753.00;8213.00;839709051_0;5.10;0.00;tripinfo_10300 routing_10300;16447.00;10300;2;405.89;1.10;0.00;16419.55;DEFAULT_VEHTYPE;end;77;15547.00
-1.00;;-1.00;-1.00;18642.00;98.40;745660413#1_0;0.20;0.00;tripinfo_10302 routing_10302;24558.00;10302;2;3175.92;0.96;0.00;24146.72;DEFAULT_VEHTYPE;end;107;23296.00
-1.00;;-1.00;-1.00;18587.00;0.20;625259600_0;5.10;0.00;tripinfo_10326 routing_10326;24613.00;10326;1;3547.89;1.08;0.00;23945.12;DEFAULT_VEHTYPE;end;89;23284.00
-1.00;;-1.00;-1.00;18594.00;0.00;625259600_0;5.10;0.00;tripinfo_10330 routing_10330;24606.00;10330;1;2087.11;1.03;0.00;23710.32;DEFAULT_VEHTYPE;end;115;22938.00
-1.00;;-1.00;-1.00;27059.00;8450.60;839709051_0;5.10;0.00;tripinfo_10338 routing_10338;16141.00;10338;2;398.31;1.21;0.00;16116.34;DEFAULT_VEHTYPE;end;79;15266.00
-1.00;;-1.00;-1.00;18611.00;0.80;628782529#0_0;5.10;0.00;tripinfo_10339 routing_10339;24589.00;10339;1;2805.86;0.88;0.00;23787.26;DEFAULT_VEHTYPE;end;103;22987.00
-1.00;;-1.00;-1.00;18612.00;0.00;13654453_0;5.10;0.00;tripinfo_10340 routing_10340;24588.00;10340;1;1015.78;0.76;0.00;24491.04;DEFAULT_VEHTYPE;end;125;23480.00
