interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
25200.00;28800.00;25200_to_28800;9;40.36;1;70;-1238600634#0;0;0;40.36;62;1.94;1.13;77.01;4.88;0.59;10.88;0.11;0.00
25200.00;28800.00;25200_to_28800;7;20.69;0;296;-13853658;0;0;20.69;290;9.23;10.64;3147.76;4.44;0.80;643.05;9.44;70.00
25200.00;28800.00;25200_to_28800;2;3.69;0;61;-13853659#1;0;0;3.69;59;1.72;15.43;940.20;4.91;0.88;112.36;14.42;0.00
25200.00;28800.00;25200_to_28800;6;0.39;3;7;-13853663;0;0;0.39;4;0.19;20.63;203.20;7.23;0.87;20.77;19.82;0.00
25200.00;28800.00;25200_to_28800;2;0.32;1;7;-14118784#0;0;0;0.32;6;0.15;15.17;120.20;7.23;0.87;16.20;14.31;3.00
25200.00;28800.00;25200_to_28800;2;0.56;5;6;-14118784#1;0;0;0.56;9;0.25;5.94;60.75;5.90;0.71;18.19;5.14;0.00
25200.00;28800.00;25200_to_28800;3;0.68;6;10;-14858868;0;0;0.68;13;0.32;12.06;187.68;6.74;0.81;25.94;11.19;0.00
25200.00;28800.00;25200_to_28800;1;0.43;3;8;-150276003#0;0;0;0.43;10;0.21;12.42;134.58;7.35;0.88;16.41;11.76;0.00
25200.00;28800.00;25200_to_28800;1;0.14;1;3;-150276003#1;0;0;0.14;3;0.07;26.19;103.86;8.08;0.97;9.72;25.51;0.00
25200.00;28800.00;25200_to_28800;2;0.75;1;16;-15089551;0;0;0.75;15;0.34;7.20;121.02;6.91;0.83;12.47;6.31;0.00
25200.00;28800.00;25200_to_28800;29;5.25;1;107;-17073048#1;0;0;5.25;80;2.05;3.26;349.56;7.20;0.86;45.30;2.58;0.00
25200.00;28800.00;25200_to_28800;2;2.68;1;66;-17670100#1;0;0;2.68;65;1.27;12.68;848.48;7.33;0.88;84.97;11.99;0.00
